% Model:              cyclotron_simulation (1).mph
% Version:            COMSOL 6.3.0.420
% Date:               Jun 4 2025, 13:40
% Dimension:          3
% Nodes:              3890
% Expressions:        1
% Description:        Magnetic flux density, z-component
% Length unit:        in
% x                       y                        z                        mf.Bz (T)
-104.37960019790117       2.220446049250313E-16    -40.94542338046101       -5.615215617847454E-5
-110.82331602183191       4.440892098500626E-16    -29.40705688652831       -8.454400275644932E-5
-112.82285272140564       4.440892098500626E-16    -32.71363478571459       -1.3904351779186276E-4
-108.99999999999999       -2.220446049250313E-16   -30.60851014503008       8.298167157927095E-5
-103.83632642054046       6.661338147750939E-16    -38.6196333959106        2.9086277808342594E-4
-117                      2.220446049250313E-16    -25.385917012208967      -3.912821203555319E-6
-119.43486991043378       0                        -23.103089965945486      6.999941769831545E-6
-117                      0                        -23.502655121942908      -5.063286897385442E-6
-125                      4.440892098500626E-16    -22.194101004243862      -1.113737107451382E-5
-112.91608095170616       2.220446049250313E-16    -24.250091408171457      2.6574002078792427E-5
-113.00000000000003       -2.220446049250313E-16   -22.084525340889883      3.400015012065129E-5
-114.87159666669474       2.220446049250313E-16    -22.75345461099849       -2.460820601885643E-5
-116.99999999999999       -2.220446049250313E-16   -21.670670193589814      4.0965154735624165E-6
-125                      0                        -14.597637395404123      2.4609816354553517E-5
-123.23766937645544       -2.220446049250313E-16   -14.420443517999574      -1.6160494842040165E-5
-118.91851314976941       2.220446049250313E-16    -62.9769655127033        1.5381808835150103E-5
-117.9048135505662        -2.220446049250313E-16   -67.45858410159009       1.8071025512747225E-6
-119.14947392677132       -2.220446049250313E-16   -69.69907447415697       -6.702439584761054E-5
-125                      0                        -75                      -3.0732520668060427E-6
-116.38473002241977       0                        -61.28524218223082       2.3078310399123117E-5
-113.08859154736886       0                        -59.40526839966699       7.324051417368326E-6
-116.3185662964141        1.1102230246251565E-16   -66.17137593723703       7.090087755974732E-5
-116.19901683404063       -1.4210854715202004E-14  -75                      -1.6341314990267475E-4
-100.66666904296065       -2.220446049250313E-16   -39.88663302604347       4.487851888156398E-5
-110.85005041665397       2.220446049250313E-16    -66.4009905443582        4.046423184691625E-5
-105.39367073935288       0                        -59.38710792618485       1.1799563467052752E-4
-105.40532061511351       3.469446951953614E-18    -59.39259278585517       7.419248855027058E-5
-105.40623278019392       0                        -59.3774267723511        1.4886519972750963E-4
-105.49610310476388       0                        -59.56788803347817       3.12314871482045E-5
-105.42440509890284       0                        -59.38530306530323       5.1772889080779123E-5
-105.39701588563194       0                        -59.406812129970604      -3.694558298118253E-5
-105.3528961732494        0                        -59.38511678335143       -4.5551324267742294E-5
-108.39987842037513       0                        -53.641743061265046      1.2290070017954597E-5
-108.58070223472924       2.220446049250313E-16    -49.485589108605794      -6.299272199868784E-5
-106.88813441345309       -4.440892098500626E-16   -52.03770378924458       -2.462753708998744E-5
-103.91457443089988       2.220446049250313E-16    -43.357965282467966      6.495219580813537E-5
-102.26620880638295       0                        -45.284567535749446      2.6699325041501662E-5
-100.56469936121867       -1.1102230246251565E-16  -40.67503224258199       2.3926045380043374E-4
-107.27605861897712       0                        -46.4258658697903        -1.2955287374410388E-4
-99.93950149860717        -3.3306690738754696E-16  -39.65278066924842       -5.9798511240479535E-5
-105.37967594235715       0                        -59.351569274152574      7.477962103533643E-5
-102.7399171654439        0                        -47.93931018098713       -2.8137064444659812E-5
-104.41811146478852       2.220446049250313E-16    -51.85556772438999       8.4592406462928E-5
-100.59944216559717       -5.551115123125783E-17   -39.03865542852451       -7.644115578756638E-5
-103.73299818569097       -4.440892098500626E-16   -36.00000000000001       -2.6374039256868388E-6
-97.48062808717846        -1.1102230246251565E-16  -36.00000000000001       -4.761958832032144E-4
-97.3665402421678         -2.220446049250313E-16   -36.04583686484097       -4.967077862530956E-4
-95.39563240737901        -2.220446049250313E-16   -39.652902239813024      3.4615886160290885E-5
-94.72415572366509        -3.3306690738754696E-16  -39.07389504695647       3.6086482989009396E-5
-97.25567462252947        -1.5265566588595902E-16  -36.00000000000001       -2.1240077691151124E-4
-97.33563680932745        -3.608224830031759E-16   -36.00000000000001       -4.3499885587490017E-4
-125                      -4.440892098500626E-16   -13.16964785205984       6.504568984679995E-6
-108.99999999999999       0                        -25.32226422025777       1.0009347028039845E-4
-108.99999999999999       0                        -26.136406803534264      3.7673632570226184E-5
-109.47932614928759       0                        -25.67519357876756       -5.032603340613764E-5
-109.36873081945679       -5.551115123125783E-17   -25.01823230455243       1.523714263718712E-5
-92.540559723307          -3.920475055707584E-16   -36.00000000000001       -1.8031351120379588E-4
-113.00000000000003       0                        -19.810538429522335      -2.282531518185383E-5
-114.70129446605137       -2.220446049250313E-16   -17.72208250149462       5.412348359519854E-5
-108.99999999999999       0                        -24.294244972267098      1.1313556126958945E-4
-110.93298607806983       0                        -21.34010614764916       4.811285707203326E-5
-108.99999999999999       0                        -20.62907011941833       -2.504596303743648E-5
-116.99999999999999       -6.661338147750939E-16   -15.90443467194235       7.143784357243705E-6
-108.99999999999999       2.220446049250313E-16    -18.01156274349962       9.272708748091441E-5
-108.99999999999999       0                        -15.545044751901248      5.157398918619893E-6
-110.62169666412852       2.220446049250313E-16    -16.086726468620345      -1.7457470181550848E-5
-122.6794715481182        0                        -13.149321459840243      -1.5823611171068362E-5
-117.00000000000001       -2.220446049250313E-16   -13.11303041358667       1.1806906326556567E-5
-115.06792334042166       2.220446049250313E-16    -14.929988372104924      1.9511179797808135E-5
-113                      2.220446049250313E-16    -16.066698212287083      6.38209376224819E-5
-121.60374805018603       1.1102230246251565E-16   -10.69969554356784       -2.814985091502079E-5
-117.00000000000007       0                        -9.02193272607258        4.072287106611443E-6
-118.25978364960315       2.220446049250313E-16    -6.881087701647191       1.3417167991414027E-6
-115.40440293828054       0                        -11.335504023289         -9.937456821772125E-6
-115.91806718583025       0                        -7.755875158483691       -3.547468139149625E-6
-125                      3.3306690738754696E-16   -11.144330747049894      -2.1146690305444483E-5
-125                      0                        -4.327917064694874       2.2516063457205134E-5
-110.75819663110349       -3.3306690738754696E-16  -67.92475420851014       2.4597132862952392E-5
-117.13430950832517       6.661338147750939E-16    -68.25365247040455       5.166334298047133E-6
-101.09127826781062       0                        -65.25000000000001       -3.0343807305546764E-6
-99.62668172900904        1.1102230246251565E-16   -63.12742077986298       -2.1292044352302605E-5
-106.26331834949637       0                        -66.84315383224958       2.3728418080334228E-5
-99.87235656204346        0                        -65.25000000000003       -7.238785453840329E-5
-98.81872380238468        0                        -64.56761105466187       -3.108529353113958E-5
-109.78361600880629       -1.1102230246251565E-16  -67.7207018278579        9.968431754551912E-6
-109.81079810362253       -6.661338147750939E-16   -68.98977881436002       5.566136911527617E-6
-107.39803366808128       0                        -75                      0
-99.06458280137886        0                        -40.527031161779846      4.347681257758988E-5
-95.21801623495756        -1.1102230246251565E-16  -40.50102481175073       2.4488084053130623E-4
-97.21767399835352        0                        -43.92413736133928       -1.4162035535943336E-4
-91.21280065109896        0                        -40.05462561048767       -2.3639042084224926E-4
-92.90063514900973        0                        -40.24274231880371       3.623361417304467E-5
-92.46083539773807        4.163336342344337E-17    -36.18943071018574       2.3470620614505144E-5
-90.40223430274996        0                        -40.06466876976909       -4.084505235178012E-5
-90.80887515714           0                        -41.39657777792129       -1.3294603143576057E-4
-94.5175708108462         2.220446049250313E-16    -43.70545622882659       1.8124343316372368E-4
-91.47358337501026        -6.938893903907228E-17   -67.55814274961509       5.292413655008524E-6
-98.59705050212192        0                        -75                      -1.0811398644588154E-5
-98.85406678963918        0                        -57.131228665444254      1.4746873905537229E-5
-101.8413007233163        -4.440892098500626E-16   -53.012036070901914      5.530765349887641E-5
-95.50783642098705        4.440892098500626E-16    -58.904353355467684      -6.468001247196598E-5
-92.25818324160436        7.771561172376096E-16    -56.633257987572364      2.2823472420308603E-5
-93.11946720723301        0                        -56.05133950780831       -8.733188573103243E-5
-92.03076769169866        4.440892098500626E-16    -60.93617697700228       -1.2386552703248963E-5
-90.99031897155713        -1.6653345369377348E-16  -67.57894398556711       -1.5547038437362338E-5
-91.03162401735831        -4.3021142204224816E-16  -67.66046806178386       -4.7106868796708735E-5
-88.44608481497733        3.3306690738754696E-16   -62.81066868659309       2.3590968605499968E-5
-97.16887931315732        -4.440892098500626E-16   -48.64855193122085       -6.255518052835092E-5
-94.0206452643849         4.440892098500626E-16    -51.091557440270165      7.573554939599321E-5
-93.12928180739682        0                        -47.42899821166235       4.380339651717018E-4
-98.85440138292051        -4.440892098500626E-16   -51.206421239639894      -1.5352660378123084E-4
-96.49805771785611        0                        -54.625153416113804      -1.6558282541451896E-4
-92.68627546278077        0                        -55.287209751794556      1.764658405361581E-5
-85.35164814940624        -1.1102230246251565E-16  -40.431337536157706      -4.8032586843997963E-4
-85.6142525326404         0                        -40.99006004009311       1.0512922964823478E-4
-86.17567449333535        0                        -40.0696877843947        -1.249160788550598E-4
-86.47718590564676        0                        -41.39326885602917       3.4144110648847896E-5
-92.50142304036561        -3.0184188481996443E-16  -36.00000000000001       -3.8883163078044355E-5
-88.87500574008119        -4.440892098500626E-16   -36.000000000000014      6.914626237947256E-5
-108.99999999999999       1.6653345369377348E-16   -11.78505871525866       -5.306965306254678E-6
-109.50664684199245       0                        -10.928996842717016      -8.52306665260639E-5
-110.70473302720431       0                        -10.968914935977116      5.768360061178467E-6
-111.62703401931232       -5.551115123125783E-17   -9.393550316785255       6.135786707379177E-5
-108.99999999999999       -3.3306690738754696E-16  -10.39453750153383       -6.884899986900278E-5
-117.00000000000004       -1.1102230246251565E-16  -6.203692423424673       -4.4704941769647196E-5
-121.46061534081483       -2.220446049250313E-16   -3.5554848774833365      5.631329948828176E-6
-125                      -2.220446049250313E-16   0.4285693931397987       2.558586697660938E-5
-109.38840674301287       -3.3306690738754696E-16  -10.05508028930045       -4.125045397698047E-5
-116.99999999999997       2.220446049250313E-16    -0.037207225876260575    2.4146915963391068E-5
-121.61163784959865       4.440892098500626E-16    3.5237396819717293       1.4935614069196547E-5
-116.99999999999996       -2.220446049250313E-16   7.140409123812158        -1.661225456177495E-5
-110.97762349459926       0                        -7.07143709126339        -1.6963406638489476E-5
-113.54994074758532       -1.1102230246251565E-16  -3.5283041178532177      2.4516792684328615E-5
-113.01848412331263       0                        -4.505139997859315       1.2053784208431256E-4
-112.29124889686011       0                        -3.9521663254502313      6.091896853855044E-5
-108.99999999999999       1.1102230246251565E-16   -9.487016064805085       -7.353446804590773E-5
-108.99999999999999       0                        -5.212635772891996       9.822777918804211E-6
-113.40552971120346       -5.551115123125783E-17   3.1859017555734623       -6.638153056973862E-5
