% Model:              cyclotron_simulation (1).mph
% Version:            COMSOL 6.3.0.420
% Date:               Jul 14 2025, 20:45
% Dimension:          3
% Nodes:              6848
% Expressions:        1
% Description:        Magnetic flux density, y-component
% Length unit:        in
% x                       y                        z                        mf.By (T)
-116.94793396285257       0                        -39.903440122940104      0.2110951860468436
-118.84479023045111       -1.1102230246251565E-16  -39.44970317265641       0.2109623097386614
-116.99999999999991       -1.1102230246251565E-16  -39.18799064167901       0.21132372737754085
-117.26722891807248       -2.220446049250313E-16   -40.538672326500844      0.21087763573722382
-116.29431709016924       0                        -39.61753415660432       0.2113195568230513
-125                      -8.881784197001252E-15   -43.93501924719929       0.2088167337581913
-120.06050267298068       0                        -47.08387972997407       0.20812434857673154
-121.1666431140379        0                        -47.49023190704886       0.2078872564370381
-125                      2.220446049250313E-16    -50.14801539775944       0.20656377632365164
-119.97989795267966       -1.1102230246251565E-16  -46.33660538351346       0.2084100911114792
-125                      -9.769962616701378E-15   -56.361011548319595      0.20488455125791485
-122.18164174999583       -2.220446049250313E-16   -51.84881989547942       0.2063193861454238
-120.20899389678684       1.1102230246251565E-16   -48.46051973083884       0.2076885444304825
-120.84846756498467       0                        -60.83421327506157       0.20415282536799992
-121.61723312252244       5.551115123125783E-17    -61.33542074858278       0.20402349571610254
-120.63270903539275       -1.1102230246251565E-16  -61.37897052905177       0.20415158116446866
-124.99999999999999       0                        -62.57400769887972       0.20336725240460943
-118.63521020103533       0                        -46.52149865598784       0.20864418387972092
-116.57577673947287       0                        -60.599852912195736      0.2052465393596541
-116.35101694527822       0                        -60.8711000780771        0.20519719956538798
-116.24689635286866       5.551115123125783E-17    -60.3780578387249        0.20537791994540838
-120.20899389678682       -2.220446049250313E-16   -53.03926058595962       0.206128607669312
-119.95351574962126       0                        -55.85860957938101       0.2054049941803855
-115.89489374610855       -1.1102230246251565E-16  -40.63441195479702       0.21118208132089378
-116.62253944388931       1.1102230246251565E-16   -42.56869057474761       0.21038702455100755
-119.53316030224963       4.440892098500626E-16    -42.80563169748459       0.20961704495933628
-120.68722501073643       0                        -39.99601359377024       0.21044719205790505
-117.45463358838013       1.1102230246251565E-16   -44.82181261865054       0.2094618189227761
-115.69513401051145       -5.551115123125783E-17   -60.898239376223884      0.20544033458819716
-116.3627217267893        1.1102230246251565E-16   -34.52437382432901       0.21265376944310274
